ssobja,fsobj,ssobjx,concrit,delta,delcrit
804.561621878064, 804.5553084220419, 804.5620090439522, -7.84707578688711e-6, 0.05, 0.05778058927130132 
804.561621878064, 804.5553128042152, 804.5620090483501, -7.841629127262286e-6, 0.05, 0.05781902100963398 
804.561621878064, 804.5553146405551, 804.5620089929932, -7.839346716695185e-6, 0.05, 0.05782709037956874 
804.561621878064, 804.5553147806562, 804.5620132277453, -7.839172583277482e-6, 0.05, 0.0584239406926454 
804.561621878064, 804.5553151489854, 804.5620099574498, -7.838714782158623e-6, 0.05, 0.05796721177643431 
804.561621878064, 804.5553191759334, 804.5620167051919, -7.833709636664045e-6, 0.05, 0.05895116046504926 
804.561621878064, 804.5553194277493, 804.5620178627706, -7.833396651450783e-6, 0.05, 0.059116002389951815 
804.561621878064, 804.5553199207151, 804.5620181705162, -7.83278393791489e-6, 0.05, 0.059163581248655124 
804.561621878064, 804.5553210131637, 804.5620155599782, -7.831426119413143e-6, 0.05, 0.058806356768872706 
804.561621878064, 804.555321265071, 804.5620166588716, -7.831113020592402e-6, 0.05, 0.058963044364516694 
804.561621878064, 804.5553213533552, 804.5620148548176, -7.831003291028435e-6, 0.05, 0.05871019075949133 
804.561621878064, 804.5553224353854, 804.5620173417669, -7.82965842180105e-6, 0.05, 0.059069339360327475 
804.561621878064, 804.5553283797298, 804.5620177997024, -7.822270119644411e-6, 0.05, 0.05918624247170096 
804.561621878064, 804.5553286322312, 804.5620190675509, -7.821956282375057e-6, 0.05, 0.059366761946012085 
804.561621878064, 804.5553287183133, 804.562017059703, -7.821849289846995e-6, 0.05, 0.05908514682954032 
804.5612804337962, 804.560738554031, 804.5612804337962, -6.735096237278076e-7, 0.05, -0.6301106382474317 
804.5612804337962, 804.5602311574426, 804.5614345354916, -1.3041596447659726e-6, 0.05, 0.1280575814477896 
804.5612804337962, 804.5602312201237, 804.5614349181164, -1.3040817375563972e-6, 0.05, 0.12834141811316402 
804.5612804337962, 804.5602312247684, 804.5614346460271, -1.3040759646266428e-6, 0.05, 0.12814483452430986 
804.5612804337962, 804.5602312500745, 804.5614346169864, -1.3040445113088432e-6, 0.05, 0.12812648894462675 
804.5612804337962, 804.5602312908933, 804.5614350035436, -1.3039937770697874e-6, 0.05, 0.12841082500761594 
804.5612804337962, 804.5602312950249, 804.5614349335683, -1.3039886418399957e-6, 0.05, 0.1283605946941599 
804.5612804337962, 804.5602313225452, 804.5614345207571, -1.3039544365070231e-6, 0.05, 0.1280644755813173 
804.5612804337962, 804.5602313795374, 804.5614349946215, -1.3038836000942882e-6, 0.05, 0.12841382141504618 
804.5612804337962, 804.5602313914682, 804.5614346748798, -1.3038687712033286e-6, 0.05, 0.12818349298746276 
804.5612804337962, 804.5602314381803, 804.5614353660416, -1.3038107121048282e-6, 0.05, 0.1286889667019296 
804.5612804337962, 804.5602314454161, 804.5614351607735, -1.3038017185995024e-6, 0.05, 0.12854115672050628 
804.5612804337962, 804.560231460374, 804.5614353012871, -1.3037831272363711e-6, 0.05, 0.1286444714876844 
804.5612804337962, 804.5602314721382, 804.5614354477987, -1.303768505354152e-6, 0.05, 0.12875176353674217 
804.5612804337962, 804.5602314839144, 804.5614351050043, -1.303753868493826e-6, 0.05, 0.1285048895507287 
804.5612804337962, 804.5602315563773, 804.5614347816273, -1.3036638034419058e-6, 0.05, 0.1282784069336746 
804.5612804337962, 804.5602315742394, 804.5614353671596, -1.3036416023550318e-6, 0.05, 0.12870432103158524 
804.5612804337962, 804.5602315789242, 804.5614352811708, -1.3036357795453556e-6, 0.05, 0.12864257930012654 
804.5612804337962, 804.5602315839641, 804.5614352028065, -1.30362951544674e-6, 0.05, 0.1285863862601758 
804.5612804337962, 804.5602315918949, 804.5614350714767, -1.30361965815682e-6, 0.05, 0.12849214057277644 
804.5612804337962, 804.5602315968745, 804.5614350218362, -1.3036134689487384e-6, 0.05, 0.12845672316042409 
804.5612804337962, 804.5602316239382, 804.5614351910681, -1.30357983108819e-6, 0.05, 0.12858215810476922 
804.5612804337962, 804.5602316348155, 804.5614348865565, -1.303566311509851e-6, 0.05, 0.12836278742426863 
804.5612804337962, 804.560231643032, 804.5614353263101, -1.3035560991257573e-6, 0.05, 0.12868210747455364 
